product_id,name,rating,rating_count,num_flowers,aroma,composition_flowers,target_price,bonus,city
89,Тюльпаны желтые,4.9,841,,без запаха,тюльпан,285.0,15,Краснодар
1046,Тюльпаны пионовидные розово- желтые,4.6,815,,без запаха,тюльпан,334.0,17,Краснодар
1052,Тюльпаны пионовидные розовые,4.6,842,,без запаха,тюльпан,334.0,17,Краснодар
1051,Тюльпаны пионовидные нежный микс,4.6,896,,без запаха,тюльпан,378.0,19,Краснодар
5386,Букет из пионовидных тюльпанов микс в упаковке     15 шт,4.6,165,15,без запаха,тюльпан,5107.0,256,Казань
5422,Букет из белых тюльпанов стандарт в упаковке   25 шт,4.8,198,25,без запаха,тюльпан,6257.0,313,Казань
5424,Букет из желтых тюльпанов стандарт в упаковке   25 шт,4.8,189,25,без запаха,тюльпан,6257.0,313,Казань
5423,Букет из розовых тюльпанов стандарт в упаковке   25 шт,4.8,186,25,без запаха,тюльпан,6257.0,313,Казань
2138,Букет из 25 тюльпанов пионовидных розовых в стильной упаковке,5.0,851,25,без запаха,тюльпан,12073.0,604,Казань
2139,Букет из 51 тюльпана пионовидного розового в дизайнерской упаковке,4.9,804,51,без запаха,тюльпан,23569.0,1179,Казань
1958,Букет из 35 розовых пионовидных тюльпанов в упаковке,5.0,542,35,без запаха,тюльпан,16645.0,833,Казань
1960,Букет из 101 розового пионовидного тюльпана в упаковке нежного оттенка,5.0,737,101,без запаха,тюльпан,48025.0,2402,Казань
2140,Букет из 101 розового пионовидного тюльпана под атласную ленту,4.8,710,101,без запаха,тюльпан,45914.0,2296,Казань
1961,Букет из 51 тюльпана микс в упаковке нежного оттенка,4.7,786,51,без запаха,"тюльпан, роза",20685.0,1035,Казань
1969,Букет из 35 микса тюльпанов в нежной фиолетовой упаковке,4.7,728,35,без запаха,тюльпан,14384.0,720,Казань
2059,Букет из 25 пионовидных розовых тюльпанов в розовой упаковке,4.5,609,25,без запаха,тюльпан,12676.0,634,Казань
140,Тюльпаны микс,4.6,862,,без запаха,тюльпан,234.0,12,Казань
1045,Тюльпаны пионовидные микс,4.5,882,,без запаха,тюльпан,277.0,14,Казань
2044,Букет цветов Родная,4.8,856,9,без запаха,тюльпан,3003.0,151,Казань
4450,Букет из 15 тюльпанов стандарт микс под ленту,4.7,586,15,без запаха,тюльпан,3628.0,182,Казань
5385,Букет из тюльпанов микс стандарт в упаковке      15 шт,4.5,165,15,без запаха,тюльпан,4007.0,201,Казань
4451,Букет из 25 тюльпанов стандарт микс под ленту,4.6,841,25,без запаха,тюльпан,4697.0,235,Казань
4574,Букет из 25 белых тюльпанов стандарт под ленту,4.6,869,25,без запаха,тюльпан,5982.0,300,Казань
4607,Букет из 25 красных тюльпанов стандарт под ленту,4.8,938,25,без запаха,тюльпан,5982.0,300,Казань
4572,Букет из 25 розовых тюльпанов стандарт под ленту,4.7,671,25,без запаха,тюльпан,5982.0,300,Казань
2125,Букет цветов Любящий взгляд,4.7,410,25,без запаха,тюльпан,6524.0,327,Казань
2157,Букет цветов Романтический день,5.0,451,25,без запаха,тюльпан,6524.0,327,Казань
4606,Букет из 51 тюльпана стандарт яркий микс под ленту,5.0,791,51,без запаха,тюльпан,9245.0,463,Казань
4571,Букет из 51 жёлтого тюльпана стандарт под ленту,4.8,660,51,без запаха,тюльпан,11351.0,568,Казань
2126,Букет цветов Роскошь,4.6,955,51,без запаха,тюльпан,12323.0,617,Казань
2159,Букет цветов Сладкий шепот,4.5,538,51,без запаха,тюльпан,12323.0,617,Казань
3094,Букет из 101 тюльпана микс стандарт под ленту,4.5,641,101,без запаха,тюльпан,15290.0,765,Казань
2136,Букет цветов Твоя фантазия,4.8,579,51,без запаха,тюльпан,15734.0,787,Казань
3095,Букет цветов Важный шаг,4.8,425,101,без запаха,тюльпан,21750.0,1088,Казань
2161,Букет из 101 белого тюльпана стандарт в стильной упаковке,4.8,584,101,без запаха,тюльпан,24230.0,1212,Казань
2127,Букет из 101 розового тюльпана стандарт в дизайнерской упаковке,4.7,707,101,без запаха,тюльпан,24230.0,1212,Казань
153,Тюльпаны белые,4.9,657,,без запаха,тюльпан,295.0,15,Казань
97,Тюльпаны малиновые,4.8,536,,без запаха,тюльпан,295.0,15,Казань
89,Тюльпаны желтые,4.9,841,,без запаха,тюльпан,371.0,19,Казань
1051,Тюльпаны пионовидные нежный микс,4.6,896,,без запаха,тюльпан,478.0,24,Казань
1046,Тюльпаны пионовидные розово- желтые,4.6,815,,без запаха,тюльпан,478.0,24,Казань
1052,Тюльпаны пионовидные розовые,4.6,842,,без запаха,тюльпан,478.0,24,Казань
3256,Букет из гипсофил Седьмое небо,4.6,353,7,без запаха,гипсофила,5073.0,254,Казань
3377,Букет из гипсофил Сияние,4.5,523,5,без запаха,гипсофила,3964.0,199,Казань
3259,Букет из гипсофил Звездная пыль,4.7,503,19,без запаха,гипсофила,11396.0,570,Казань
3255,Букет из гипсофил Звёздная дымка,5.0,490,25,без запаха,гипсофила,14726.0,737,Казань
3269,Букет из гипсофил Летний рассвет,4.7,395,9,без запаха,гипсофила,5854.0,293,Казань
3268,Букет из гипсофил Созвездие любви,4.8,567,15,без запаха,гипсофила,9129.0,457,Казань
3478,Гипсофила белая,4.5,432,15,без запаха,гипсофила,406.0,21,Казань
3443,Гипсофила микс,4.9,563,15,без запаха,гипсофила,487.0,25,Казань
2806,Букет из сухоцветов Прованс,4.9,469,1,,сухоцветы,2617.0,131,Казань
2777,Букет из сухоцветов Хлопковое поле,4.7,685,5,,сухоцветы,7931.0,397,Казань
2778,Букет из сухоцветов Лавандовый замок,4.7,333,1,,сухоцветы,8413.0,421,Казань
2581,Букет из 15 фрезий микс в стильной упаковке,4.9,328,15,фруктовый,фрезия,5854.0,293,Казань
2847,Букет из 25 белых фрезий в дизайнерской упаковке,4.5,716,25,фруктовый,фрезия,9241.0,463,Казань
2582,Букет из 25 фрезий микс в дизайнерской упаковке,4.9,462,25,фруктовый,фрезия,9241.0,463,Казань
2578,Букет из 49 фрезий микс в стильной упаковке,5.0,499,49,фруктовый,фрезия,17120.0,856,Казань
155,Фрезия белая,5.0,406,21,фруктовый,фрезия,308.0,16,Казань
2552,Фрезия микс,5.0,338,35,фруктовый,фрезия,308.0,16,Казань
561,Букет из 15 подсолнухов под ленту,4.8,559,15,травяной,подсолнух,11030.0,552,Казань
1417,Букет из 25 подсолнухов под ленту,4.5,626,25,травяной,подсолнух,17918.0,896,Казань
141,Подсолнух,4.8,421,6,травяной,подсолнух,643.0,33,Казань
542,Букет из 15 матрикарий в стильной упаковке,4.5,331,15,,ромашка,6022.0,302,Казань
2004,Букет из 35 матрикарий в дизайнерской упаковке,4.9,630,35,,ромашка,12724.0,637,Казань
2156,Букет из 49 матрикарий в дизайнерской упаковке,4.7,492,49,,ромашка,17047.0,853,Казань
2405,Букет из 15 кустовых хризантем Сантини микс в стильной упаковке,5.0,667,15,сладкий,хризантема,5244.0,263,Казань
2395,Букет из 25 кустовых хризантем Сантини микс в стильной упаковке,4.5,635,25,сладкий,хризантема,7817.0,391,Казань
2401,Букет из 49 кустовых хризантем Сантини микс в стильной упаковке,4.9,797,49,сладкий,хризантема,14169.0,709,Казань
2947,Букет из 75 белых кустовых хризантем Сантини в стильной упаковке,4.6,531,75,сладкий,хризантема,20854.0,1043,Казань
3318,Букет из 15 садовых ромашек в дизайнерской упаковке,4.7,719,15,медовый,ромашка,7839.0,392,Казань
3317,Букет из 21 садовой ромашки в стильной упаковке,4.6,477,21,медовый,ромашка,9720.0,486,Казань
32,Матрикария,4.8,391,19,,ромашка,296.0,15,Казань
1849,Букет цветов Родимая,4.9,657,9,без запаха,эустома,6461.0,324,Казань
2086,Букет цветов Единственная,4.8,646,15,без запаха,эустома,10422.0,522,Казань
1972,Букет из 21 лизиантуса микс в упаковке,4.5,334,21,без запаха,эустома,14044.0,703,Казань
2410,Букет из 35 белых лизиантусов в стильной упаковке,4.5,597,35,без запаха,эустома,22998.0,1150,Казань
27,Лизиантус белый,4.7,543,9,без запаха,эустома,643.0,33,Казань
28,Лизиантус фиолетовый,4.6,472,9,без запаха,эустома,643.0,33,Казань
30,Лизиантус микс,4.5,429,13,без запаха,эустома,643.0,33,Казань
26,Ирисы синие,4.6,619,19,медовый,ирис,250.0,13,Казань
1679,Букет из 51 синего ириса под ленту,4.7,695,51,медовый,ирис,9068.0,454,Казань
3208,Букет из 15 альстромерий нежный микс в стильной упаковке,4.5,723,15,без запаха,альстромерия,4985.0,250,Казань
1966,Букет цветов Нежный лик,5.0,508,19,без запаха,альстромерия,5943.0,298,Казань
3207,Букет из 35 альстромерий нежный микс в стильной упаковке,5.0,324,35,без запаха,альстромерия,9325.0,467,Казань
2969,Альстромерия нежный микс,4.9,672,15,без запаха,альстромерия,292.0,15,Казань
2968,Альстромерия яркий микс,4.6,362,17,без запаха,альстромерия,292.0,15,Казань
3227,Букет из 7 маттиол микс в дизайнерской упаковке,4.9,590,7,яркий,матиола,4789.0,240,Казань
3226,Букет из 9 маттиол микс в стильной упаковке,4.5,335,9,яркий,матиола,5737.0,287,Казань
3225,Букет из 11 маттиол микс в дизайнерской упаковке,4.8,739,11,яркий,матиола,6936.0,347,Казань
1835,Букет из 17 маттиол микс в упаковке,4.8,621,17,яркий,матиола,10034.0,502,Казань
1408,Маттиола нежный микс,4.7,606,15,яркий,матиола,493.0,25,Казань
1409,Маттиола яркий микс,4.7,590,15,яркий,матиола,493.0,25,Казань
2591,Букет цветов Пушистые облака,5.0,642,3,фруктовый,гортензия,8269.0,414,Казань
2592,Букет цветов Ночь нежна,4.5,669,5,фруктовый,"гортензия, эвкалипт",12659.0,633,Казань
1327,Гортензия розовая,5.0,712,5,фруктовый,гортензия,1999.0,100,Казань
